BAS_DD,ISU_NM,ClosePrice,Stock_Returns,MKTCAP,LIST_SHRS,베타 값
2024-11-12,AJ네트웍스,4575,-1.72,207031372425,45252759,0.43002706872149127
2024-11-12,AK홀딩스,11790,-0.67,156188744190,13247561,0.40771052817291614
2024-11-12,BGF,3550,-0.7,339794608050,95716791,0.5732900079767267
2024-11-12,BGF리테일,107600,-0.09,1859748285600,17283906,0.11515003331816502
2024-11-12,BNK금융지주,9490,0.32,3040944539230,320436727,0.5769340557462213
2024-11-12,BYC,31200,-0.16,194879880000,6246150,0.45293341557900485
2024-11-12,BYC우,12910,-0.84,27806203500,2153850,0.22149900134043937
2024-11-12,CJ,96300,-0.41,2809744907400,29176998,1.0095903108731052
2024-11-12,CJ CGV,5290,-2.22,875918575590,165580071,0.47438555501999025
2024-11-12,CJ4우(전환),74600,-2.61,315297795200,4226512,0.9183882028240696
2024-11-12,CJ대한통운,80200,-3.49,1829549988800,22812344,0.505847401956559
2024-11-12,CJ씨푸드,2870,-4.49,103121318510,35930773,0.9232982072009969
2024-11-12,CJ씨푸드1우,17530,-0.4,3506000000,200000,0.5581091949615498
2024-11-12,CJ우,54900,-2.49,124086242700,2260223,0.47909028926478975
2024-11-12,CJ제일제당,256500,-1.54,3861398709000,15054186,0.5192400255060667
2024-11-12,CJ제일제당 우,128000,-1.01,169911424000,1327433,0.45887881530386665
2024-11-12,CR홀딩스,5690,0.53,266806888100,46890490,0.614742538726398
2024-11-12,CS홀딩스,69300,-0.86,80005602600,1154482,0.35214224770000996
2024-11-12,DB,1415,-4.07,284661115195,201173933,0.6876884786536469
2024-11-12,DB금융투자,5030,-2.71,213505336670,42446389,0.5497847758813252
2024-11-12,DB손해보험,104000,-4.32,7363200000000,70800000,0.9836573470062798
2024-11-12,DB하이텍,32550,-4.26,1445174039400,44398588,1.1056484865855298
2024-11-12,DGB금융지주,8250,-0.48,1395453122250,169145833,0.5813508654071396
2024-11-12,DI동일,40950,5.54,1032581768400,25215672,0.5151646014282135
2024-11-12,DL,34500,-1.57,722977998000,20955884,0.68524161191438
2024-11-12,DL우,20500,-4.87,34565357500,1686115,0.6243474695611939
2024-11-12,DL이앤씨,30400,0.5,1176286139200,38693623,0.6979809500272692
2024-11-12,DL이앤씨2우(전환),20450,-1.92,43189397950,2111951,0.5808734670980868
2024-11-12,DL이앤씨우,15620,-0.13,33018883700,2113885,0.5598651960531784
2024-11-12,DN오토모티브,18140,-1.89,1071454791100,59065865,0.48884166307678645
2024-11-12,DRB동일,4720,-3.18,94069600000,19930000,0.7187322301504423
2024-11-12,DSR,3790,-1.94,60640000000,16000000,0.5606805459969544
2024-11-12,DSR제강,3395,-1.88,48888000000,14400000,0.682923066981898
2024-11-12,DS단석,157300,-5.64,921998849200,5861404,1.2584677300888565
2024-11-12,E1,71900,-2.04,493234000000,6860000,0.5335762278645142
2024-11-12,ESR켄달스퀘어리츠,4580,-1.29,975947620000,213089000,0.2891002146840178
2024-11-12,F&F,52300,-0.95,2003460022500,38307075,0.7737734460236965
2024-11-12,F&F홀딩스,13150,-1.72,514353926050,39114367,0.8266926530299795
2024-11-12,GKL,10430,-3.96,645154638100,61855670,0.3872582021137149
2024-11-12,GS,40950,-1.8,3804884729100,92915378,0.7219743078515443
2024-11-12,GS건설,17390,-1.25,1488262111100,85581490,0.7107768076524501
2024-11-12,GS글로벌,3120,-2.04,257505343680,82533764,0.8814750277094742
2024-11-12,GS리테일,20400,0.0,2136245608800,104717922,0.34552896458932897
2024-11-12,GS우,37800,-1.95,67466422800,1784826,0.43998297035555656
2024-11-12,HDC,11580,-0.17,691809129180,59741721,0.4916830131922277
2024-11-12,HDC랩스,7890,-0.63,204805471890,25957601,0.3057294580601793
2024-11-12,HDC현대EP,3740,-1.71,119306000000,31900000,0.76651865415821
2024-11-12,HDC현대산업개발,19260,-5.12,1269375175800,65907330,0.6019510090012115
2024-11-12,HD한국조선해양,187700,-3.2,13284113873200,70773116,1.0673549730770684
2024-11-12,HD현대,75300,-0.13,5948179300500,78993085,0.5137437967413888
2024-11-12,HD현대건설기계,60200,-0.66,1101996277200,18305586,0.9352911079139163
2024-11-12,HD현대마린솔루션,146500,-2.4,6511925000000,44450000,1.266108157231482
2024-11-12,HD현대마린엔진,20150,1.51,683518124250,33921495,0.28518336095501895
2024-11-12,HD현대미포,108200,-3.31,4321740521800,39942149,0.8680351021850774
2024-11-12,HD현대에너지솔루션,20700,3.5,231840000000,11200000,1.1168750542768375
2024-11-12,HD현대인프라코어,7330,-1.87,1412167505110,192655867,1.0551424451972877
2024-11-12,HD현대일렉트릭,381500,-2.18,13751982002500,36047135,0.9310200784096861
2024-11-12,HD현대중공업,205500,-3.07,18242875338000,88773116,0.8634289480091553
2024-11-12,HJ중공업,3000,2.21,249822843000,83274281,0.9009869178540528
2024-11-12,HL D&I,2440,3.83,92374986440,37858601,0.5463697374908285
2024-11-12,HLB글로벌,3695,-1.2,175474038745,47489591,1.0026338701739648
2024-11-12,HL만도,38000,-3.92,1784370560000,46957120,1.081882208378685
2024-11-12,HL홀딩스,34700,-1.14,352878527000,10169410,0.341874924372577
2024-11-12,HMM,16020,1.71,11999612725920,749039496,0.9870170252089263
2024-11-12,HS애드,6390,-1.99,105865743510,16567409,0.20595446984881519
2024-11-12,HS화성,9280,-2.01,94192000000,10150000,0.2795481478178346
2024-11-12,HS효성,36750,-2.78,136927817250,3725927,0.6841164869812164
2024-11-12,HS효성첨단소재,190500,-2.46,853430094000,4479948,1.361320080707069
2024-11-12,IHQ,10760,0.0,64669472240,6010174,0.0
2024-11-12,JB금융지주,18340,0.99,3577825851320,195083198,0.4926089832325867
2024-11-12,JW생명과학,11100,-2.03,175763549400,15834554,0.4042064272504263
2024-11-12,JW중외제약,24700,-5.18,575162471000,23285930,1.0861085023899348
2024-11-12,JW중외제약2우B,62000,-0.16,13018326000,209973,-0.02374036216935975
2024-11-12,JW중외제약우,30250,-1.14,10344017750,341951,0.10843351896983315
2024-11-12,JW홀딩스,2935,-0.84,216969704770,73924942,0.5868123890364931
2024-11-12,KB금융,92700,0.0,36480084812100,393528423,1.085484476443353
2024-11-12,KB스타리츠,3865,-2.52,391966211525,101414285,0.19689503540477168
2024-11-12,KCC,243500,0.21,2163855688500,8886471,0.767567052772782
2024-11-12,KCC글라스,38250,-1.29,610872084000,15970512,0.36260762717763745
2024-11-12,KCTC,4100,-2.26,123000000000,30000000,1.0398875356970574
