,CLASS_NAME,KEYSTAT_NAME,DATA_VALUE,CYCLE,UNIT_NAME
0,시장금리,한국은행 기준금리,3.25,20241122,% 
1,시장금리,콜금리(익일물),3.271,20241121,% 
2,시장금리,KORIBOR(3개월),3.41,20241122,% 
3,시장금리,CD수익률(91일),3.44,20241122,% 
4,시장금리,통안증권수익률(364일),2.812,20241122,% 
5,시장금리,국고채수익률(3년),2.816,20241122,% 
6,시장금리,국고채수익률(5년),2.872,20241122,% 
7,시장금리,"회사채수익률(3년,AA-)",3.385,20241122,% 
8,여수신금리,예금은행 수신금리,3.4,202409,% 
9,여수신금리,예금은행 대출금리,4.62,202409,% 
10,예금/대출금,예금은행총예금(말잔),2070818.2,202409,십억원 
11,예금/대출금,예금은행대출금(말잔),2380422.7,202409,십억원 
12,예금/대출금,가계신용,1913814.3,2024Q3,십억원 
13,예금/대출금,가계대출연체율,0.4,202409,% 
14,통화량,"M1(협의통화, 평잔)",1232880.2,202409,십억원 
15,통화량,"M2(광의통화, 평잔)",4078455.9,202409,십억원 
16,통화량,Lf(평잔),5545469.3,202409,십억원 
17,통화량,L(말잔),7011288.6,202409,십억원 
18,환율,원/달러 환율(종가),1401.8,20241122,원 
19,환율,원/엔(100엔) 환율(매매기준율),906,20241122,원 
20,환율,원/유로 환율(매매기준율),1464.51,20241122,원 
21,환율,원/위안 환율(종가),193.23,20241122,원 
22,주식,코스피지수,2501.24,20241122,1980.01.04=100 
23,주식,코스닥지수,677.01,20241122,1996.07.01=1000
24,주식,주식거래대금(KOSPI),194.1,202410,조원
25,주식,투자자예탁금,50.6,202410,조원
26,채권,채권거래대금,89.6,202410,조원
27,채권,국고채발행액,9499,202409,십억원 
28,성장률,"경제성장률(실질, 계절조정 전기대비)",0.1,2024Q3,% 
29,성장률,"민간소비증감률(실질, 계절조정 전기대비)",0.5,2024Q3,% 
30,성장률,"설비투자증감률(실질, 계절조정 전기대비)",6.9,2024Q3,% 
31,성장률,"건설투자증감률(실질, 계절조정 전기대비)",-2.8,2024Q3,% 
32,성장률,"재화의 수출 증감률(실질, 계절조정 전기대비)",-0.6,2024Q3,% 
33,소득,"GDP(명목, 계절조정)",638253.4,2024Q2,십억원 
34,소득,1인당GNI,36194,2023,달러 
35,GDP대비 비율,총저축률,35.2,2024Q2,% 
36,GDP대비 비율,국내총투자율,30.7,2024Q2,% 
37,GDP대비 비율,수출입의 대 GNI 비율,87.3,2023,% 
38,생산,전산업생산지수,113.6,202409,2020=100
39,생산,제조업생산지수,111.4,202409,2020=100
40,생산,제조업출하지수,103.6,202409,2020=100
41,생산,제조업재고지수,110.6,202409,2020=100
42,생산,제조업가동률지수,103.4,202409,2020=100
43,생산,서비스업생산지수,117.2,202409,2020=100
44,생산,도소매업생산지수,105.6,202409,2020=100
45,소비,소매판매액지수,101.8,202409,2020=100
46,소비,개인신용카드사용액,71014563,202408,백만원 
47,소비,자동차판매액지수,115.2,202409,2020=100
48,투자,설비투자지수,121.9,202409,2015=100
49,투자,설비용 기계류내수출하지수,107.3,202409,2020=100
50,투자,국내기계수주액,2.7,202409,조원
51,투자,건설기성액,9.7,202409,조원
52,투자,건축허가면적,9105.17,202410,천㎡ 
53,투자,건설수주액,14.4,202409,조원
54,투자,건축착공면적,7545.13,202410,천㎡ 
55,경기순환지표,동행지수순환변동치,98.2,202409,2020=100
56,경기순환지표,선행지수순환변동치,100.6,202409,2020=100
57,심리지표,전산업 기업심리지수실적,92.1,202410,
58,심리지표,소비자심리지수,101.7,202410,
59,심리지표,경제심리지수,92.5,202410,
60,기업경영지표,제조업매출액증감률,-2.27,2023,% 
61,기업경영지표,제조업매출액세전순이익률,4.81,2023,% 
62,기업경영지표,제조업부채비율,75.87,2023,% 
63,가계,가구당월평균소득,6832.1,2024Q2,천원 
64,가계,평균소비성향,69.6,2024Q2,% 
65,소득분배지표,지니계수,0.324,2022,
66,소득분배지표,5분위배율,5.76,2022,
67,고용,실업률,2.3,202410,% 
68,고용,고용률,63.3,202410,% 
69,고용,경제활동인구,29525,202410,천명 
70,고용,취업자수,28847,202410,천명 
71,노동,시간당명목임금지수,114.8,2024Q2,2020=100
72,노동,노동생산성지수,111.7,2024Q2,2020=100
73,노동,단위노동비용지수,100,2024Q2,2020=100
74,인구,추계인구,51751.1,2024,천명 
75,인구,고령인구비율,19.2,2024,% 
76,인구,합계출산율,0.721,2023,명 
77,국제수지,경상수지,11124.4,202409,백만달러
78,국제수지,직접투자(자산),2469.2,202409,백만달러
79,국제수지,직접투자(부채),1438.7,202409,백만달러
80,국제수지,증권투자(자산),7502.7,202409,백만달러
81,국제수지,증권투자(부채),-1297.6,202409,백만달러
82,통관수출입,수출금액지수,133.94,202410,2020=100
83,통관수출입,수입금액지수,140.07,202410,2020=100
84,통관수출입,순상품교역조건지수,92.99,202410,2020=100
85,통관수출입,소득교역조건지수,110.63,202410,2020=100
86,대외채권/채무,외환보유액,415689646,202410,천달러 
87,대외채권/채무,대외채무,702682.9,2024Q3,백만달러
88,대외채권/채무,대외채권,1080699.5,2024Q3,백만달러
89,소비자/생산자 물가,소비자물가지수,114.69,202410,2020=100
90,소비자/생산자 물가,농산물 및 석유류제외 소비자물가지수,113.16,202410,2020=100
91,소비자/생산자 물가,생활물가지수,117.51,202410,2020=100
92,소비자/생산자 물가,생산자물가지수,119.02,202410,2020=100
93,수출입 물가,수출물가지수,128.92,202410,2020=100
94,수출입 물가,수입물가지수,137.61,202410,2020=100
95,부동산 가격,주택매매가격지수,96.3,202409,2021.6=100
96,부동산 가격,주택전세가격지수,93.4,202409,2021.6=100
97,부동산 가격,지가변동률(전기대비),0.194,202409,% 
98,국제원자재가격,Duba유(현물),76.07,202410,달러/배럴
99,국제원자재가격,금,2689.13,202410,달러 
