BAS_DD,IDX_CLSS,IDX_NM,CLSPRC_IDX,CMPPREVDD_IDX,FLUC_RT,OPNPRC_IDX,HGPRC_IDX,LWPRC_IDX,ACC_TRDVOL,ACC_TRDVAL,MKTCAP
20231024,KOSPI,코스피 (외국주포함),-,-,-,-,-,-,444165247,7949284788809,1898106189983309
20231024,KOSPI,코스피,2383.51,26.49,1.12,2371.55,2384.14,2326.67,443464593,7947232632744,1897110824026284
20231024,KOSPI,코스피 200,318.43,2.93,0.93,317.34,318.63,311.77,93256078,5696794937037,1654982984217825
20231024,KOSPI,코스피 100,2404.23,23.04,0.97,2395.01,2405.24,2355.39,64137339,4974555417337,1514767033327760
20231024,KOSPI,코스피 50,2212.39,23.46,1.07,2201.68,2213.45,2166.56,42126378,4150326767556,1307122838563790
20231024,KOSPI,코스피 200 중소형주,1096.65,7.16,0.66,1097.51,1098.58,1063.95,29118739,722239519700,140215950890065
20231024,KOSPI,코스피 200 초대형제외 지수,224.92,2.86,1.29,223.80,225.05,219.22,80464368,4822646604037,1246052879542825
20231024,KOSPI,코스피200제외 코스피지수,2988.31,48.14,1.64,2952.04,2988.31,2899.01,311763213,2137844656124,179722639162669
20231024,KOSPI,코스피 200 커뮤니케이션서비스,1562.90,38.30,2.51,1544.88,1564.67,1519.39,6637856,386459309974,100119428987690
20231024,KOSPI,코스피 200 건설,291.98,3.34,1.16,291.28,292.26,285.06,4010264,74664832905,20726369674830
20231024,KOSPI,코스피 200 중공업,298.38,3.08,1.04,297.27,298.92,287.72,11363537,209745324790,54547430002410
20231024,KOSPI,코스피 200 철강/소재,848.62,17.68,2.13,833.76,850.63,810.13,4835881,765653466600,58539552946130
20231024,KOSPI,코스피 200 에너지/화학,1276.55,18.61,1.48,1268.94,1276.67,1227.63,6406933,581141411528,123982226382000
20231024,KOSPI,코스피 200 정보기술,3068.39,34.59,1.14,3055.84,3071.50,3002.37,18540188,1571823873210,604288290931150
20231024,KOSPI,코스피 200 금융,619.59,0.82,0.13,623.82,623.98,612.88,11784826,279412224370,158570651339000
20231024,KOSPI,코스피 200 생활소비재,755.50,1.20,0.16,759.82,759.82,743.95,3152570,181076240854,75043406374840
20231024,KOSPI,코스피 200 경기소비재,1414.54,-7.09,-0.50,1426.81,1427.89,1393.07,7053545,316487668415,140115143579685
20231024,KOSPI,코스피 200 산업재,554.46,3.16,0.57,556.32,557.36,537.45,12682053,831896565771,214727560035650
20231024,KOSPI,코스피 200 헬스케어,1564.20,22.80,1.48,1539.18,1565.97,1519.01,6788425,498434018620,104322923964440
20231024,KOSPI,음식료품,3471.35,16.06,0.46,3471.10,3477.60,3408.12,5794396,50872374964,24338732502970
20231024,KOSPI,섬유의복,296.34,3.28,1.12,293.39,296.66,286.82,4811857,17578262118,7074254709064
20231024,KOSPI,종이목재,443.41,2.60,0.59,440.74,443.41,438.86,947692,3465827109,3940630933347
20231024,KOSPI,화학,4560.26,70.88,1.58,4526.26,4560.26,4372.06,21881727,758367749088,149619208391339
20231024,KOSPI,의약품,12305.01,469.13,3.96,11906.15,12305.94,11906.15,18078799,557629734681,103085430664707
20231024,KOSPI,비금속광물,3810.00,27.08,0.72,3796.63,3810.26,3723.35,8234991,52737531998,8389147815378
20231024,KOSPI,철강금속,5743.93,161.89,2.90,5598.29,5799.54,5437.07,22369728,898956763556,69477756960631
20231024,KOSPI,기계,1004.73,17.67,1.79,999.34,1005.02,965.48,35423379,391304679585,39493200432808
