corp_code,corp_name,stock_code,modify_date,done_YN
209780,케이씨,29460,20241111,N
164788,현대모비스,12330,20241108,N
968607,더본코리아,475560,20241106,N
168331,온타이드,5320,20241106,N
150633,지누스,13890,20241105,N
155355,풀무원,17810,20241105,N
112059,상상인증권,1290,20241101,N
428729,대호에이엘,69460,20241101,N
1688896,삼성FN리츠,448730,20241031,N
162072,한신기계공업,11700,20241030,N
126089,대유플러스,300,20241030,N
111111,대양금속,9190,20241029,N
670340,씨에스윈드,112610,20241028,N
111810,대웅,3090,20241025,N
109806,삼일씨엔에스,4440,20241024,N
339391,한화시스템,272210,20241023,N
797364,KC코트렐,119650,20241022,N
111689,아진전자부품,9320,20241022,N
111704,한화오션,42660,20241021,N
260408,팜스코,36580,20241021,N
1867758,한화인더스트리얼솔루션즈,489790,20241018,N
728638,한세실업,105630,20241017,N
116268,동성제약,2210,20241015,N
137368,신풍,2870,20241008,N
140168,HS애드,35000,20241008,N
129642,상신브레이크,41650,20241008,N
103592,광동제약,9290,20241007,N
132868,성안머티리얼스,11300,20241004,N
128032,삼일제약,520,20241002,N
124504,포스코인터내셔널,47050,20241002,N
145163,파미셀,5690,20241002,N
441243,형지엘리트,93240,20241002,N
1316254,HS효성첨단소재,298050,20241002,N
148984,시알홀딩스,480,20240930,N
161116,HL D&I,14790,20240925,N
125974,삼부토건,1470,20240925,N
134510,SJG세종,33530,20240924,N
1190568,에이피알,278470,20240924,N
117027,알루코,1780,20240923,N
561866,락앤락,115390,20240919,N
1204056,하이브,352820,20240913,N
162461,한화솔루션,9830,20240913,N
1784394,STX그린로지스,465770,20240912,N
163114,서연,7860,20240912,N
157399,한솔테크닉스,4710,20240909,N
210856,코아스,71950,20240909,N
131832,SK디스커버리,6120,20240909,N
163716,한창,5110,20240905,N
122825,인스코비,6490,20240905,N
173698,신일전자,2700,20240904,N
1714997,신한글로벌액티브리츠,481850,20240830,N
557933,진도,88790,20240829,N
791209,메타케어,118000,20240829,N
115977,아이에스동서,10780,20240829,N
585219,세원이앤씨,91090,20240828,N
129509,한익스프레스,14130,20240827,N
131780,SK네트웍스,1740,20240826,N
1854763,HS효성,487570,20240826,N
139889,SKC,11790,20240823,N
153621,참엔지니어링,9310,20240821,N
372129,전진건설로봇,79900,20240819,N
1596425,SK스퀘어,402340,20240816,N
1510489,프레스티지바이오파마,950210,20240816,N
1524093,DL이앤씨,375500,20240816,N
406046,HD현대마린엔진,71970,20240814,N
106614,기신정기,92440,20240813,N
116824,동아쏘시오홀딩스,640,20240809,N
956930,동아에스티,170900,20240809,N
442835,메타랩스,90370,20240805,N
158307,롯데하이마트,71840,20240801,N
372873,KTis,58860,20240731,N
137207,유니켐,11330,20240730,N
366438,산일전기,62040,20240729,N
117230,TYM,2900,20240729,N
151128,모토닉,9680,20240726,N
103626,한솔피엔에스,10420,20240725,N
146454,일양약품,7570,20240724,N
296290,키움증권,39490,20240723,N
160588,한화,880,20240722,N
414850,효성 ITX,94280,20240719,N
413046,셀트리온,68270,20240718,N
141404,영풍제지,6740,20240716,N
113535,대한해운,5880,20240715,N
150439,진양산업,3780,20240715,N
526599,덴티움,145720,20240715,N
156150,하이트론씨스템즈,19490,20240712,N
1384787,시프트업,462870,20240711,N
174527,HS화성,2460,20240710,N
137252,사조동아원,8040,20240709,N
1262032,롯데이노베이트,286940,20240708,N
164636,HDC,12630,20240705,N
171265,파라다이스,34230,20240704,N
121039,명문제약,17180,20240703,N
105271,케이씨씨,2380,20240703,N
102751,고려산업,2140,20240702,N
1765265,동국제강,460860,20240702,N
877059,삼성바이오로직스,207940,20240701,N
1319899,SK바이오사이언스,302440,20240701,N
102618,계양전기,12200,20240701,N
453488,다이나믹디자인,145210,20240701,N
112378,KR모터스,40,20240701,N
131197,서원,21050,20240701,N
113492,깨끗한나라,4540,20240701,N
937324,한국타이어앤테크놀로지,161390,20240701,N
481454,금호타이어,73240,20240701,N
173874,넥센타이어,2350,20240701,N
101664,경보제약,214390,20240701,N
163761,한창제지,9460,20240701,N
136086,무림페이퍼,9200,20240701,N
134723,페이퍼코리아,1020,20240701,N
133706,한국제지,27970,20240701,N
119007,무림P&P,9580,20240701,N
1060744,한솔제지,213500,20240701,N
124726,빙그레,5180,20240701,N
141529,오뚜기,7310,20240701,N
126955,삼양식품,3230,20240701,N
129013,CJ씨푸드,11150,20240701,N
130879,서울식품공업,4410,20240701,N
1258507,롯데웰푸드,280360,20240701,N
142661,우성,6980,20240701,N
101044,에이프로젠바이오로직스,3060,20240701,N
111999,대원제약,3220,20240701,N
119195,동화약품,20,20240701,N
107598,남양유업,3920,20240701,N
113243,대한제분,1130,20240701,N
113234,대한제당,1790,20240701,N
121941,대상,1680,20240701,N
125530,SPC삼립,5610,20240701,N
108241,농심,4370,20240701,N
108038,엔피씨,4250,20240701,N
1238169,오리온,271560,20240701,N
635134,CJ제일제당,97950,20240701,N
855093,선진,136490,20240701,N
896285,삼양사,145990,20240701,N
1167056,샘표식품,248170,20240701,N
1205329,크라운제과,264900,20240701,N
104722,국제약품,2720,20240701,N
428321,해태제과식품,101530,20240701,N
149345,조흥,2600,20240701,N
123718,부광약품,3000,20240701,N
1236897,제일약품,271980,20240701,N
225706,JW생명과학,234080,20240701,N
1168383,일동제약,249420,20240701,N
828497,한미약품,128940,20240701,N
340917,동원F&B,49770,20240701,N
992871,종근당,185750,20240701,N
126414,삼성제약,1360,20240701,N
128412,삼진제약,5500,20240701,N
129679,녹십자,6280,20240701,N
135050,팜젠사이언스,4720,20240701,N
137359,신풍제약,19170,20240701,N
141149,영진약품,3520,20240701,N
144818,유유제약,220,20240701,N
146083,일동홀딩스,230,20240701,N
146214,일성아이에스,3120,20240701,N
149947,JW중외제약,1060,20240701,N
158963,유나이티드,33270,20240701,N
161046,한독,2390,20240701,N
162586,한올바이오파마,9420,20240701,N
164706,현대약품,4310,20240701,N
166573,환인제약,16580,20240701,N
109514,티웨이홀딩스,4870,20240626,N
1442966,마스턴프리미어리츠,357430,20240626,N
1035289,스타에스엠리츠,204210,20240625,N
415646,드림텍,192650,20240624,N
112651,대창,12800,20240619,N
365989,모나용평,70960,20240614,N
103130,플레이그램,9810,20240612,N
134176,세우글로벌,13000,20240610,N
149646,기업은행,24110,20240604,N
1480780,NH올원리츠,400760,20240603,N
102432,계룡건설산업,13580,20240603,N
127167,삼영무역,2810,20240531,N
145862,인천도시가스,34590,20240530,N
169048,HLB글로벌,3580,20240529,N
156859,다올투자증권,30210,20240524,N
126380,삼성전자,5930,20240522,N
119672,두올,16740,20240520,N
157681,롯데정밀화학,4000,20240520,N
936787,애경케미칼,161000,20240517,N
161426,한미사이언스,8930,20240516,N
138242,KG모빌리티,3620,20240514,N
1722437,한화갤러리아,452260,20240514,N
217947,신세계건설,34300,20240510,N
350312,HDC랩스,39570,20240509,N
1194689,HD현대마린솔루션,443060,20240508,N
102858,고려아연,10130,20240507,N
241005,코오롱ENP,138490,20240507,N
753643,주성코퍼레이션,109070,20240503,N
127158,씨아이테크,4920,20240503,N
203290,콜마홀딩스,24720,20240503,N
103510,인지컨트롤스,23800,20240502,N
114792,동국홀딩스,1230,20240502,N
159810,카프로,6380,20240502,N
983040,한진칼,180640,20240502,N
148896,OCI홀딩스,10060,20240502,N
104519,국보,1140,20240429,N
1159233,솔루엠,248070,20240426,N
172185,남성,4270,20240426,N
145446,이건산업,8250,20240426,N
154329,TP,7980,20240422,N
125150,SGC에너지,5090,20240422,N
198697,일진디스플,20760,20240418,N
159193,한국전력공사,15760,20240416,N
126308,삼성E&A,28050,20240416,N
