날짜,stock_code,corp_name,industry,거래량,저가,고가,시가,종가,등락률,ROE,ROE_가중치,고정비율,고정비율_가중치,매출액_증감률,매출액_증감률_가중치,매출총이익률,부채비율,부채비율_가중치,순이익률,순이익률_가중치,시계열,영업이익_증감률,영업이익률,영업이익률_가중치,유동비율,유동비율_가중치
2020-05-15,720,현대건설,건설업,463763,31475,32156,32108,31719,-1.060544621,2.235817676,,55.66758281,0.2,0.0,,10.71502836,120.4263229,0.4,4.842246345,,2020-1분기,0.0,4.073730062,0.1,187.9669778,0.3
2020-05-18,720,현대건설,건설업,494607,31037,31767,31718,31427,-0.920583877,2.235817676,,55.66758281,0.2,0.0,,10.71502836,120.4263229,0.4,4.842246345,,2020-1분기,0.0,4.073730062,0.1,187.9669778,0.3
2020-05-19,720,현대건설,건설업,942295,32205,32935,32205,32643,3.869284373,2.235817676,,55.66758281,0.2,0.0,,10.71502836,120.4263229,0.4,4.842246345,,2020-1분기,0.0,4.073730062,0.1,187.9669778,0.3
2020-05-20,720,현대건설,건설업,479060,32205,32594,32254,32205,-1.341788439,2.235817676,,55.66758281,0.2,0.0,,10.71502836,120.4263229,0.4,4.842246345,,2020-1분기,0.0,4.073730062,0.1,187.9669778,0.3
2020-05-21,720,현대건설,건설업,582971,31913,32594,32545,32108,-0.301195467,2.235817676,,55.66758281,0.2,0.0,,10.71502836,120.4263229,0.4,4.842246345,,2020-1분기,0.0,4.073730062,0.1,187.9669778,0.3
2020-05-22,720,현대건설,건설업,574095,31183,32400,32400,31768,-1.058926124,2.235817676,,55.66758281,0.2,0.0,,10.71502836,120.4263229,0.4,4.842246345,,2020-1분기,0.0,4.073730062,0.1,187.9669778,0.3
2020-05-25,720,현대건설,건설업,426479,31135,31816,31816,31524,-0.768068497,2.235817676,,55.66758281,0.2,0.0,,10.71502836,120.4263229,0.4,4.842246345,,2020-1분기,0.0,4.073730062,0.1,187.9669778,0.3
2020-05-26,720,현대건설,건설업,1474782,31524,33178,31572,32838,4.16825276,2.235817676,,55.66758281,0.2,0.0,,10.71502836,120.4263229,0.4,4.842246345,,2020-1분기,0.0,4.073730062,0.1,187.9669778,0.3
2020-05-27,720,현대건설,건설업,1658171,32983,34345,33032,34249,4.296851209,2.235817676,,55.66758281,0.2,0.0,,10.71502836,120.4263229,0.4,4.842246345,,2020-1분기,0.0,4.073730062,0.1,187.9669778,0.3
2020-05-28,720,현대건설,건설업,1513333,32351,34783,34735,32935,-3.836608368,2.235817676,,55.66758281,0.2,0.0,,10.71502836,120.4263229,0.4,4.842246345,,2020-1분기,0.0,4.073730062,0.1,187.9669778,0.3
2020-05-29,720,현대건설,건설업,1349850,32108,33275,32448,33276,1.035372704,2.235817676,,55.66758281,0.2,0.0,,10.71502836,120.4263229,0.4,4.842246345,,2020-1분기,0.0,4.073730062,0.1,187.9669778,0.3
2020-06-01,720,현대건설,건설업,839073,32983,33810,33129,33324,0.144248107,2.235817676,,55.66758281,0.2,0.0,,10.71502836,120.4263229,0.4,4.842246345,,2020-1분기,0.0,4.073730062,0.1,187.9669778,0.3
