corp_code,corp_name,industry,stock_code,modify_date,done_YN,market_cap,,
126380,삼성전자,전기전자,5930,20240522,N,297892149245000 ,,
164779,SK하이닉스,전기전자,660,20240328,N,125944409145000 ,,
1515323,LG에너지솔루션,전기전자,373220,20240326,N,98748000000000 ,,
877059,삼성바이오로직스,의약품,207940,20240701,N,68113518000000 ,,
164742,현대자동차,운수장비,5380,20230103,N,42197362486500 ,,
106641,기아,운수장비,270,20230109,N,36986903572500 ,,
413046,셀트리온,의약품,68270,20240718,N,36121871385600 ,,
688996,KB금융,기타금융,105560,20231121,N,35378205227700 ,,
266961,NAVER,서비스업,35420,20240311,N,30307879758000 ,,
382199,신한지주,기타금융,55550,20230324,N,28780716591000 ,,
155319,POSCO홀딩스,철강금속,5490,20240322,N,25613556870000 ,,
164788,현대모비스,운수장비,12330,20241108,N,23760246517000 ,,
102858,고려아연,철강금속,10130,20240507,N,21220865075000 ,,
149655,삼성물산,유통업,28260,20240318,N,20587399590600 ,,
356361,LG화학,화학,51910,20230106,N,20295298612500 ,,
860332,메리츠금융지주,기타금융,138040,20230105,N,19529739673600 ,,
1390344,HD현대중공업,운수장비,329180,20240327,N,19308152730000 ,,
126256,삼성생명,보험,32830,20240322,N,19120000000000 ,,
126566,한화에어로스페이스,운수장비,12450,20230109,N,18391998463500 ,,
126362,삼성SDI,전기전자,6400,20230109,N,18188218185000 ,,
547583,하나금융지주,기타금융,86790,20230922,N,17177004624000 ,,
139214,삼성화재해상보험,보험,810,20240321,N,15894257813500 ,,
164645,HMM,운수창고업,11200,20221227,N,15523915919520 ,,
244455,케이티앤지,기타제조업,33780,20240329,N,15306869637600 ,,
159193,한국전력공사,전기가스업,15760,20240416,N,14829370178700 ,,
401731,LG전자,전기전자,66570,20231218,N,14679208915800 ,,
258801,카카오,서비스업,35720,20240329,N,14548523115200 ,,
159616,두산에너빌리티,기계,34020,20230111,N,14380597727700 ,,
155276,포스코퓨처엠,전기전자,3670,20240326,N,14346188344000 ,,
760971,크래프톤,서비스업,259960,20231027,N,14058683752500 ,,
1205851,HD현대일렉트릭,전기전자,267260,20230428,N,13661864165000 ,,
164830,HD한국조선해양,기타금융,9540,20240401,N,13652134076400 ,,
159023,SK텔레콤,통신업,17670,20230217,N,12114158989200 ,,
111704,한화오션,운수장비,42660,20241021,N,12011405044800 ,,
1350869,우리금융지주,기타금융,316140,20230327,N,11792353035880 ,,
120021,LG,기타금융,3550,20221220,N,11624543382700 ,,
149646,기업은행,은행,24110,20240604,N,11427112702770 ,,
126186,삼성에스디에스,서비스업,18260,20221130,N,10786465320000 ,,
1596425,SK스퀘어,기타금융,402340,20240816,N,10550921868000 ,,
190321,케이티,통신업,30200,20240111,N,10370692337750 ,,
126478,삼성중공업,운수장비,10140,20240322,N,10313600000000 ,,
181712,SK,기타금융,34730,20240328,N,10034374095200 ,,
631518,SK이노베이션,화학,96770,20240329,N,9832045093000 ,,
145109,유한양행,의약품,100,20230208,N,9817589433600 ,,
1133217,카카오뱅크,은행,323410,20221228,N,9587069603700 ,,
113526,대한항공,운수창고업,3490,20221229,N,8726829665700 ,,
360595,현대글로비스,운수창고업,86280,20240108,N,8407500000000 ,,
124504,포스코인터내셔널,유통업,47050,20241002,N,8321147872400 ,,
1204056,하이브,서비스업,352820,20240913,N,8263776044800 ,,
878696,에스케이바이오팜,서비스업,326030,20230329,N,8105421375000 ,,
126371,삼성전기,전기전자,9150,20230102,N,7947409254400 ,,
161383,한미반도체,기계,42700,20240328,N,7866183717400 ,,
159102,DB손해보험,보험,5830,20230110,N,7469400000000 ,,
1311408,에코프로머티,전기전자,450080,20231117,N,7293855148800 ,,
302926,현대로템,운수장비,64350,20230104,N,6985106752000 ,,
309503,한국항공우주,운수장비,47810,20230309,N,6794014957900 ,,
583424,아모레퍼시픽,화학,90430,20240102,N,6258725213000 ,,
138279,S-Oil,화학,10950,20230510,N,6203311839200 ,,
1205709,HD현대,기타금융,267250,20240130,N,5979776534500 ,,
339391,한화시스템,전기전자,272210,20241023,N,5639243761650 ,,
356370,LG생활건강,화학,51900,20230329,N,5575696329000 ,,
503668,LIG넥스원,기계,79550,20240326,N,5390000000000 ,,
111722,미래에셋증권,증권,6800,20231207,N,5357847672000 ,,
983040,한진칼,기타금융,180640,20240502,N,5127343027200 ,,
105873,LG디스플레이,전기전자,34220,20240325,N,4950000000000 ,,
170558,코웨이,서비스업,21240,20230103,N,4553436492300 ,,
